gene_symbol	ensembl_id	chrom	tss	strand	biotype	start	end
BATF3	ENSG00000123685	chr1	212699840	-	protein_coding	212686417	212699840
PROX1	ENSG00000117707	chr1	213982711	+	protein_coding	213982711	214041510
ESRRG	ENSG00000196482	chr1	217137755	-	protein_coding	216503246	217137755
HLX	ENSG00000136630	chr1	220879431	+	protein_coding	220879431	220885059
MIXL1	ENSG00000185155	chr1	226223618	+	protein_coding	226223618	226227060
ZNF678	ENSG00000181450	chr1	227563543	+	protein_coding	227563543	227677443
ZBTB18	ENSG00000179456	chr1	244048547	+	protein_coding	244048547	244057476
SMYD3	ENSG00000185420	chr1	246507312	-	protein_coding	245749342	246507312
AHCTF1	ENSG00000153207	chr1	246932063	-	protein_coding	246839098	246932063
ZNF695	ENSG00000197472	chr1	247008093	-	protein_coding	246945547	247008093
ZNF670	ENSG00000277462	chr1	247078811	-	protein_coding	247034637	247078811
ZNF669	ENSG00000188295	chr1	247104372	-	protein_coding	247099962	247104372
ZNF124	ENSG00000196418	chr1	247172046	-	protein_coding	247121975	247172046
ZNF496	ENSG00000162714	chr1	247332822	-	protein_coding	247297412	247332822
ZNF672	ENSG00000171161	chr1	248838210	+	protein_coding	248838210	248849520
ZNF692	ENSG00000171163	chr1	248859144	-	protein_coding	248850004	248859144
KLF6	ENSG00000067082	chr10	3785281	-	protein_coding	3775996	3785281
KIN	ENSG00000151657	chr10	7787994	-	protein_coding	7750962	7787994
GATA3	ENSG00000107485	chr10	8045315	+	protein_coding	8045315	8075198
PTF1A	ENSG00000168267	chr10	23192312	+	protein_coding	23192312	23194245
MKX	ENSG00000150051	chr10	27746060	-	protein_coding	27672874	27746060
ZNF438	ENSG00000183621	chr10	31032110	-	protein_coding	30820207	31032110
ZEB1	ENSG00000148516	chr10	31318495	+	protein_coding	31318495	31529814
CREM	ENSG00000095794	chr10	35126791	+	protein_coding	35126791	35212958
ZNF248	ENSG00000198105	chr10	37858107	-	protein_coding	37776526	37858107
ZNF25	ENSG00000175395	chr10	37976647	-	protein_coding	37949573	37976647
ZNF33A	ENSG00000189180	chr10	38010295	+	protein_coding	38010295	38065088
ZNF37A	ENSG00000075407	chr10	38094314	+	protein_coding	38094314	38150293
ZNF33B	ENSG00000196693	chr10	42638620	-	protein_coding	42574185	42638620
ZNF487	ENSG00000243660	chr10	43436830	+	protein_coding	43436830	43483181
ZNF239	ENSG00000196793	chr10	43574623	-	protein_coding	43554516	43574623
ZNF485	ENSG00000198298	chr10	43606413	+	protein_coding	43606413	43617904
ZNF32	ENSG00000169740	chr10	43649367	-	protein_coding	43643859	43649367
ZNF22	ENSG00000165512	chr10	45000293	+	protein_coding	45000293	45005329
ZNF488	ENSG00000265763	chr10	47384325	-	protein_coding	47356520	47384325
DRGX	ENSG00000165606	chr10	49398484	-	protein_coding	49364065	49398484
ARID5B	ENSG00000150347	chr10	61901684	+	protein_coding	61901684	62096944
ZNF365	ENSG00000138311	chr10	62374192	+	protein_coding	62374192	62480288
EGR2	ENSG00000122877	chr10	62819167	-	protein_coding	62811996	62819167
ATOH7	ENSG00000179774	chr10	68232113	-	protein_coding	68230595	68232113
TET1	ENSG00000138336	chr10	68560310	+	protein_coding	68560310	68694586
NEUROG3	ENSG00000122859	chr10	69573511	-	protein_coding	69571485	69573511
ZNF503	ENSG00000165655	chr10	75401764	-	protein_coding	75397830	75401764
HHEX	ENSG00000152804	chr10	92689903	+	protein_coding	92689903	92695647
ZNF518A	ENSG00000177853	chr10	96129695	+	protein_coding	96129695	96205288
LCOR	ENSG00000196233	chr10	96831803	+	protein_coding	96831803	96995956
NKX2-3	ENSG00000119919	chr10	99532942	+	protein_coding	99532942	99536524
PAX2	ENSG00000075891	chr10	100735396	+	protein_coding	100735396	100829944
TLX1	ENSG00000107807	chr10	101131300	+	protein_coding	101131300	101137789
LBX1	ENSG00000138136	chr10	101230401	-	protein_coding	101226180	101230401
PITX3	ENSG00000107859	chr10	102241512	-	protein_coding	102230189	102241512
NFKB2	ENSG00000077150	chr10	102394110	+	protein_coding	102394110	102402529
PCGF6	ENSG00000156374	chr10	103351150	-	protein_coding	103302796	103351150
MXI1	ENSG00000119950	chr10	110207605	+	protein_coding	110207605	110287365
TCF7L2	ENSG00000148737	chr10	112950205	+	protein_coding	112950205	113167678
VAX1	ENSG00000148704	chr10	117138301	-	protein_coding	117128521	117138301
EMX2	ENSG00000170370	chr10	117542445	+	protein_coding	117542445	117549546
IKZF5	ENSG00000095574	chr10	123008826	-	protein_coding	122990806	123008826
HMX3	ENSG00000188620	chr10	123135970	+	protein_coding	123135970	123139423
HMX2	ENSG00000188816	chr10	123148136	+	protein_coding	123148136	123150672
NKX1-2	ENSG00000229544	chr10	124450035	-	protein_coding	124445243	124450035
FOXI2	ENSG00000186766	chr10	127737185	+	protein_coding	127737185	127741183
EBF3	ENSG00000108001	chr10	129973053	-	protein_coding	129835233	129973053
NKX6-2	ENSG00000148826	chr10	132786147	-	protein_coding	132783179	132786147
VENTX	ENSG00000151650	chr10	133235769	+	protein_coding	133235769	133241929
ZNF511	ENSG00000198546	chr10	133308899	+	protein_coding	133308899	133313162
IRF7	ENSG00000185507	chr11	615983	-	protein_coding	612551	615983
DEAF1	ENSG00000177030	chr11	707118	-	protein_coding	644224	707118
ASCL2	ENSG00000183734	chr11	2270588	-	protein_coding	2268498	2270588
ZNF195	ENSG00000005801	chr11	3379222	-	protein_coding	3339261	3379222
ZNF215	ENSG00000149054	chr11	6926373	+	protein_coding	6926373	7001004
ZNF214	ENSG00000149050	chr11	7020355	-	protein_coding	6996671	7020355
ASCL3	ENSG00000176009	chr11	8943016	-	protein_coding	8937578	8943016
ZNF143	ENSG00000166478	chr11	9460319	+	protein_coding	9460319	9529002
ZBED5	ENSG00000236287	chr11	10858796	-	protein_coding	10812074	10858796
TEAD1	ENSG00000187079	chr11	12674421	+	protein_coding	12674421	12944737
SOX6	ENSG00000110693	chr11	16739591	-	protein_coding	15966449	16739591
MYOD1	ENSG00000129152	chr11	17719571	+	protein_coding	17719571	17722136
E2F8	ENSG00000129173	chr11	19241684	-	protein_coding	19224063	19241684
DBX1	ENSG00000109851	chr11	20160475	-	protein_coding	20156155	20160475
PRMT3	ENSG00000185238	chr11	20387549	+	protein_coding	20387549	20509350
PAX6	ENSG00000007372	chr11	31817961	-	protein_coding	31784779	31817961
WT1	ENSG00000184937	chr11	32435564	-	protein_coding	32387775	32435564
ELF5	ENSG00000135374	chr11	34525193	-	protein_coding	34478791	34525193
EHF	ENSG00000135373	chr11	34617044	+	protein_coding	34617044	34663386
RAG1	ENSG00000166349	chr11	36510372	+	protein_coding	36510372	36593156
ALX4	ENSG00000052850	chr11	44310139	-	protein_coding	44260440	44310139
PHF21A	ENSG00000135365	chr11	46121473	-	protein_coding	45929319	46121473
CREB3L1	ENSG00000157613	chr11	46277637	+	protein_coding	46277637	46321422
ZNF408	ENSG00000175213	chr11	46701016	+	protein_coding	46701016	46705912
NR1H3	ENSG00000025434	chr11	47248300	+	protein_coding	47248300	47269070
SPI1	ENSG00000066336	chr11	47409369	-	protein_coding	47354860	47409369
ZFP91	ENSG00000186660	chr11	58578476	+	protein_coding	58578476	58621550
MYRF	ENSG00000124920	chr11	61752593	+	protein_coding	61752593	61788518
ZBTB3	ENSG00000185670	chr11	62758835	-	protein_coding	62748319	62758835
ESRRA	ENSG00000173153	chr11	64305080	+	protein_coding	64305080	64316744
BATF2	ENSG00000168062	chr11	64997018	-	protein_coding	64987945	64997018
TIGD3	ENSG00000173825	chr11	65354751	+	protein_coding	65354751	65357613
RELA	ENSG00000173039	chr11	65663090	-	protein_coding	65653599	65663090
OVOL1	ENSG00000172818	chr11	65786714	+	protein_coding	65786714	65797219
FOSL1	ENSG00000175592	chr11	65900573	-	protein_coding	65892049	65900573
DRAP1	ENSG00000175550	chr11	65919274	+	protein_coding	65919274	65921563
NPAS4	ENSG00000174576	chr11	66421035	+	protein_coding	66421035	66426707
KDM2A	ENSG00000173120	chr11	67119263	+	protein_coding	67119263	67258082
TBX10	ENSG00000167800	chr11	67639763	-	protein_coding	67631303	67639763
PHOX2A	ENSG00000165462	chr11	72245664	-	protein_coding	72239077	72245664
THAP12	ENSG00000137492	chr11	76381134	-	protein_coding	76349898	76381134
CREBZF	ENSG00000137504	chr11	85682908	-	protein_coding	85657742	85682908
JRKL	ENSG00000183340	chr11	96389989	+	protein_coding	96389989	96507574
PGR	ENSG00000082175	chr11	101129813	-	protein_coding	101029624	101129813
MSANTD4	ENSG00000170903	chr11	106022410	-	protein_coding	105995623	106022410
POU2AF1	ENSG00000110777	chr11	111455630	-	protein_coding	111352255	111455630
ZBTB16	ENSG00000109906	chr11	114058335	+	protein_coding	114058335	114256765
KMT2A	ENSG00000118058	chr11	118436456	+	protein_coding	118436456	118526832
FOXR1	ENSG00000176302	chr11	118971712	+	protein_coding	118971712	118981287
HINFP	ENSG00000172273	chr11	119121509	+	protein_coding	119121509	119136059
POU2F3	ENSG00000137709	chr11	120236640	+	protein_coding	120236640	120319945
BSX	ENSG00000188909	chr11	122981834	-	protein_coding	122977570	122981834
ZNF202	ENSG00000166261	chr11	123742513	-	protein_coding	123723914	123742513
PKNOX2	ENSG00000165495	chr11	125164537	+	protein_coding	125164537	125434287
ETS1	ENSG00000134954	chr11	128587606	-	protein_coding	128458761	128587606
FLI1	ENSG00000151702	chr11	128686535	+	protein_coding	128686535	128813267
BARX2	ENSG00000043039	chr11	129375848	+	protein_coding	129375848	129452279
PRDM10	ENSG00000170325	chr11	130002853	-	protein_coding	129899706	130002853
ZBTB44	ENSG00000196323	chr11	130314917	-	protein_coding	130226677	130314917
THYN1	ENSG00000151500	chr11	134253370	-	protein_coding	134248270	134253370
FOXM1	ENSG00000111206	chr12	2877174	-	protein_coding	2857676	2877174
TEAD4	ENSG00000197905	chr12	2959330	+	protein_coding	2959330	3040676
ZNF384	ENSG00000126746	chr12	6689572	-	protein_coding	6666477	6689572
NANOGNB	ENSG00000205857	chr12	7765216	+	protein_coding	7765216	7774121
NANOG	ENSG00000111704	chr12	7787794	+	protein_coding	7787794	7799146
FOXJ2	ENSG00000065970	chr12	8032698	+	protein_coding	8032698	8055522
ZNF705A	ENSG00000196946	chr12	8157015	+	protein_coding	8157015	8188537
YBX3	ENSG00000060138	chr12	10723388	-	protein_coding	10699077	10723388
ETV6	ENSG00000139083	chr12	11649623	+	protein_coding	11649623	11895386
CREBL2	ENSG00000111269	chr12	12611827	+	protein_coding	12611827	12645108
AEBP2	ENSG00000139154	chr12	19404045	+	protein_coding	19404045	19720801
SOX5	ENSG00000134532	chr12	24562544	-	protein_coding	23529504	24562544
BHLHE41	ENSG00000123095	chr12	26125037	-	protein_coding	26120030	26125037
DBX2	ENSG00000185610	chr12	45051099	-	protein_coding	45014672	45051099
ARID2	ENSG00000189079	chr12	45728910	+	protein_coding	45728910	45908040
VDR	ENSG00000111424	chr12	47943048	-	protein_coding	47841537	47943048
ZNF641	ENSG00000167528	chr12	48351414	-	protein_coding	48337180	48351414
ATF1	ENSG00000123268	chr12	50763710	+	protein_coding	50763710	50821162
CSRNP2	ENSG00000110925	chr12	51083664	-	protein_coding	51061205	51083664
TFCP2	ENSG00000135457	chr12	51173137	-	protein_coding	51093656	51173137
POU6F1	ENSG00000184271	chr12	51218062	-	protein_coding	51186936	51218062
NR4A1	ENSG00000123358	chr12	52022832	+	protein_coding	52022832	52059509
ZNF740	ENSG00000139651	chr12	53180694	+	protein_coding	53180694	53195142
RARG	ENSG00000172819	chr12	53232980	-	protein_coding	53210566	53232980
SP7	ENSG00000170374	chr12	53345315	-	protein_coding	53326575	53345315
SP1	ENSG00000185591	chr12	53380176	+	protein_coding	53380176	53416446
ATF7	ENSG00000170653	chr12	53626410	-	protein_coding	53507856	53626410
HOXC13	ENSG00000123364	chr12	53938831	+	protein_coding	53938831	53946544
HOXC12	ENSG00000123407	chr12	53954903	+	protein_coding	53954903	53958956
HOXC11	ENSG00000123388	chr12	53973126	+	protein_coding	53973126	53977643
HOXC10	ENSG00000180818	chr12	53985065	+	protein_coding	53985065	53990279
HOXC6	ENSG00000197757	chr12	53990624	+	protein_coding	53990624	54030823
HOXC9	ENSG00000180806	chr12	53994895	+	protein_coding	53994895	54003337
HOXC8	ENSG00000037965	chr12	54008985	+	protein_coding	54008985	54012769
HOXC4	ENSG00000198353	chr12	54016931	+	protein_coding	54016931	54056030
HOXC5	ENSG00000172789	chr12	54033050	+	protein_coding	54033050	54035361
NFE2	ENSG00000123405	chr12	54301259	-	protein_coding	54292107	54301259
ZNF385A	ENSG00000161642	chr12	54391307	-	protein_coding	54369129	54391307
NEUROD4	ENSG00000123307	chr12	55019974	+	protein_coding	55019974	55030017
IKZF4	ENSG00000123411	chr12	56007430	+	protein_coding	56007430	56038435
PA2G4	ENSG00000170515	chr12	56104349	+	protein_coding	56104349	56116329
STAT2	ENSG00000170581	chr12	56360274	-	protein_coding	56341597	56360274
BAZ2A	ENSG00000076108	chr12	56636913	-	protein_coding	56595596	56636913
ZBTB39	ENSG00000166860	chr12	57006546	-	protein_coding	56998836	57006546
STAT6	ENSG00000166888	chr12	57132139	-	protein_coding	57095404	57132139
GLI1	ENSG00000111087	chr12	57459785	+	protein_coding	57459785	57472268
MBD6	ENSG00000166987	chr12	57520710	+	protein_coding	57520710	57530148
DDIT3	ENSG00000175197	chr12	57521737	-	protein_coding	57516588	57521737
HMGA2	ENSG00000149948	chr12	65824460	+	protein_coding	65824460	65966291
MYRFL	ENSG00000166268	chr12	69825227	+	protein_coding	69825227	69959097
THAP2	ENSG00000173451	chr12	71664301	+	protein_coding	71664301	71680644
E2F7	ENSG00000165891	chr12	77065572	-	protein_coding	77021246	77065572
MYF6	ENSG00000111046	chr12	80707633	+	protein_coding	80707633	80709557
MYF5	ENSG00000111049	chr12	80716912	+	protein_coding	80716912	80719671
ALX1	ENSG00000180318	chr12	85280220	+	protein_coding	85280220	85301784
EEA1	ENSG00000102189	chr12	92929350	-	protein_coding	92770637	92929350
NR2C1	ENSG00000120798	chr12	95073628	-	protein_coding	95020229	95073628
ELK3	ENSG00000111145	chr12	96193978	+	protein_coding	96193978	96269835
NR1H4	ENSG00000012504	chr12	100473708	+	protein_coding	100473708	100564414
SPIC	ENSG00000166211	chr12	101475336	+	protein_coding	101475336	101486997
ASCL1	ENSG00000139352	chr12	102957674	+	protein_coding	102957674	102960513
NFYB	ENSG00000120837	chr12	104138241	-	protein_coding	104117080	104138241
RFX4	ENSG00000111783	chr12	106582691	+	protein_coding	106582691	106762803
MTERF2	ENSG00000120832	chr12	106987173	-	protein_coding	106973120	106987173
PRDM4	ENSG00000110851	chr12	107761327	-	protein_coding	107732867	107761327
ASCL4	ENSG00000187855	chr12	107774704	+	protein_coding	107774704	107776644
FOXN4	ENSG00000139445	chr12	109309284	-	protein_coding	109277978	109309284
CUX2	ENSG00000111249	chr12	111033853	+	protein_coding	111033853	111350554
TRAFD1	ENSG00000135148	chr12	112125514	+	protein_coding	112125514	112153610
LHX5	ENSG00000089116	chr12	113472280	-	protein_coding	113462033	113472280
TBX5	ENSG00000089225	chr12	114409103	-	protein_coding	114353911	114409103
TBX3	ENSG00000135111	chr12	114684175	-	protein_coding	114670255	114684175
HNF1A	ENSG00000135100	chr12	120978543	+	protein_coding	120978543	121002512
KDM2B	ENSG00000089094	chr12	121582279	-	protein_coding	121429096	121582279
MLXIP	ENSG00000175727	chr12	122078666	+	protein_coding	122078666	122147344
ZNF664	ENSG00000179195	chr12	123971745	+	protein_coding	123971745	124015445
ZNF605	ENSG00000196458	chr12	132956306	-	protein_coding	132918306	132956306
ZNF26	ENSG00000198393	chr12	132986365	+	protein_coding	132986365	133032952
ZNF84	ENSG00000198040	chr12	133037262	+	protein_coding	133037262	133063304
ZNF140	ENSG00000196387	chr12	133080388	+	protein_coding	133080388	133107981
ZNF891	ENSG00000214029	chr12	133130289	-	protein_coding	133104779	133130289
ZNF10	ENSG00000256223	chr12	133130349	+	protein_coding	133130349	133159465
ZNF268	ENSG00000090612	chr12	133181409	+	protein_coding	133181409	133214832
ANHX	ENSG00000227059	chr12	133235877	-	protein_coding	133218312	133235877
GTF3A	ENSG00000122034	chr13	27424619	+	protein_coding	27424619	27435823
GSX1	ENSG00000169840	chr13	27792483	+	protein_coding	27792483	27794768
PDX1	ENSG00000139515	chr13	27920000	+	protein_coding	27920000	27926313
CDX2	ENSG00000165556	chr13	27975983	-	protein_coding	27960914	27975983
SOHLH2	ENSG00000120669	chr13	36214588	-	protein_coding	36168217	36214588
CCDC169-SOHLH2	ENSG00000250709	chr13	36297842	-	protein_coding	36168794	36297842
SMAD9	ENSG00000120693	chr13	36920887	-	protein_coding	36844831	36920887
FOXO1	ENSG00000150907	chr13	40667612	-	protein_coding	40555667	40667612
ELF1	ENSG00000120690	chr13	41061440	-	protein_coding	40931242	41061440
TSC22D1	ENSG00000102804	chr13	44577316	-	protein_coding	44432143	44577316
SETDB2	ENSG00000136169	chr13	49443794	+	protein_coding	49443794	49495003
DACH1	ENSG00000276644	chr13	71867204	-	protein_coding	71437966	71867204
KLF5	ENSG00000102554	chr13	73054976	+	protein_coding	73054976	73077541
KLF12	ENSG00000118922	chr13	74134922	-	protein_coding	73686089	74134922
POU4F1	ENSG00000152192	chr13	78603552	-	protein_coding	78598362	78603552
SOX21	ENSG00000125285	chr13	94712545	-	protein_coding	94709622	94712545
DZIP1	ENSG00000134874	chr13	95644740	-	protein_coding	95578202	95644740
MBNL2	ENSG00000139793	chr13	97221434	+	protein_coding	97221434	97394121
ZIC5	ENSG00000139800	chr13	99971767	-	protein_coding	99962964	99971767
ZIC2	ENSG00000043355	chr13	99981784	+	protein_coding	99981784	99986765
SOX1	ENSG00000182968	chr13	112067149	+	protein_coding	112067149	112071706
TFDP1	ENSG00000198176	chr13	113584525	+	protein_coding	113584525	113641509
CHAMP1	ENSG00000198824	chr13	114314482	+	protein_coding	114314482	114337626
ZNF219	ENSG00000165804	chr14	21104722	-	protein_coding	21090053	21104722
SALL2	ENSG00000165821	chr14	21537216	-	protein_coding	21521080	21537216
CEBPE	ENSG00000092067	chr14	23120256	-	protein_coding	23117036	23120256
HOMEZ	ENSG00000290292	chr14	23299796	-	protein_coding	23272422	23299796
ZFHX2	ENSG00000136367	chr14	23556192	-	protein_coding	23520857	23556192
NRL	ENSG00000129535	chr14	24115010	-	protein_coding	24078662	24115010
IRF9	ENSG00000213928	chr14	24161101	+	protein_coding	24161101	24168043
NFATC4	ENSG00000100968	chr14	24365673	+	protein_coding	24365673	24379604
FOXG1	ENSG00000176165	chr14	28764329	+	protein_coding	28764329	28770277
NPAS3	ENSG00000151322	chr14	32934396	+	protein_coding	32934396	33820863
INSM2	ENSG00000168348	chr14	35534164	+	protein_coding	35534164	35537054
NKX2-1	ENSG00000136352	chr14	36521149	-	protein_coding	36516392	36521149
NKX2-8	ENSG00000136327	chr14	36582614	-	protein_coding	36580004	36582614
PAX9	ENSG00000198807	chr14	36657568	+	protein_coding	36657568	36679362
FOXA1	ENSG00000129514	chr14	37596059	-	protein_coding	37589552	37596059
